Project ID,Title,Problem Statement,Objectives,Department,Academic Year,Manual Similarity Score (0-100),"Similar Sections (Title,ProblemStatement,Objectives)",Notes
683bf145c639bfed81a1707f,WEBBASED INVENTORY MANAGEMENT SYSTEM (A CASE OF UDOM),"Project Overview The Web Based Inventory Management System is a comprehensive web-based solution designed to streamline and enhance the efficiency of inventory management at the institution. In an era where technology plays a crucial role in organizational operations, this system aims to provide a centralized and automated platfonn for tracking, monitoring, and managing various inventories across the university's departments. Problem statement Currently, at the University of Dodoma, there exists a lack of a unified system for tracking and To elaborate further on the problem, there is a significant need for a systematic and integrated managing inventories across different departments. This leads to inefficiencies, inaccuracies, and delays in accessing critical inventory information. The absence ofreal-time data hampers decision making processes, and the overall management of resources becomes a daunting task. • approach to inventory management at the University of Dodoma. The lack of a standardized system results in discrepancies, losses, and...","To analyze the current inventory management processes at the University of Dodoma and identify areas for improvement.; To design and develop a web-based Inventory Management System that integrates seamlessly with the university's existing infrastructure.; To implement the system, ensuring user-friendly interfaces, scalability, and adherence to security standards.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf148c639bfed81a17082,UDOM contract agreements monitoring system,5 Definition of key Tenns 5,To design...; To develop...; To implement...,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf14dc639bfed81a17085,FUEL MONITORING SYSTEM,"Project Overview The Fuel Monitoring System (FMS) is a web•based solution that aims to revolutionize fuel consumption management in various industries. It leverages cutting•edge IoT technology to provide real•time insights, analytics, and control over fuel•related activities. Problem Statement The inefficient monitoring and management of fuel consumption pose significant challenges, leading to increased operational costs, fuel tJ1eft, and suboptimal perfonnance in Tanzania, Traditional met11ods lack real-time data and analytics, hindering infonned decision-making....","To provide real-time monitoring of fuel levels, consumption rates, and refueling activities.; To implement anti-theft mechanisms and preventive measures against unauthorized access to fuel resources.; To offer comprehensive data analytics and reporting tools for informed decision-making.; To integrate seamlessly with existing systems, such as fleet management and ERP software, for a unified approach to fuel management.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf15ac639bfed81a1708b,SECURE EXAMINATION ENTRY SYSTEM WITH MULTIBIOMETRIC AUTHENTICATION,"l.l Project Ov I icw The"" tudent ID canning ""ystem"" afa1s to address the issues of exam fraud and unauthorized acce s by impl m nting a comprehensive solution �hat integrates student ID, fingerprint, and face re guition te hnologies. The primary...","To develop a11d implement a Student ID Scanning System to significantly enhance the overall security of the examination process.; To integrate advanced hardware components, including ID canners, fingerprint reader , and facial recognition cameras, to establish a comprehensive and -ecur examioation environment.; To utilize the system to perfonn real-time eligibility checks, ensuring that students meet tJ1c necessary academic requirements before participating in specific exams.; To develop a secure database system to eftkicntly ma11age and store student infomrntion, exam records, and payment details, ensuring data integrity and accessibility.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf15ec639bfed81a1708e,DESIGN AND IMPLEMENTATION OF SUSPICIOUS ACTIVITY DETECTION SYSTEM USING TINYML SOLUTION TECHNOLOGY,"The security sector in Tanzania is diverse, covering public safety, border control, critical infrastructure protection, and counter-terrorism. While the country enjoys relative stability, it faces challenges such as smuggling, organized crime, and potential threats to public spaces. Collaboration between law enforcement agencies and private security firms is crucial to ensuring the safety and security of Tanzanian citizens. Securing Tanzania's dynamic environment demands innovative solutions finely attuned to the challenges within the country's multifaceted security sector. This research focuses on designing a Suspicious Activity Detection System (SADS) using TinyML technology, tailored to the intricacies of Tanzanian security. The security sector in Tanzania covers various domains, including public safety, border control, critical infrastructure protection, and counter-terrorism. Challenges such as smuggling, organized crime, and potential threats to public spaces underscore the need for proactive security measures. The primary objective is to develop an effective SADS capable of addressing specific Tanzanian security challenges. Examples...",Main objective.; To design and implement a suspicious activity detection system using TinyML solution technology; Specific objective.; To gather systems requirements for suspicious activity detection system; To train a model using the YOLO approach; To deploy a trained model into Raspberry Pi 4; v.	To implement a suspicious activity detection system; Project significance; This project has the following significance; Enhance homeland security and safety in public areas; Real-time threat identification; Proactive anomaly detection; Contributes to TinyML advancement; Resource efficiency with TinyML; Economic benefits; Educational and research opportunities,Department of Information Systems and Technology (DIS&T),2023,,,
683bf163c639bfed81a17091,WEB VULNERABILITY SCANNER,"IPROJECT OVERVIEW TI1e project aims to create a robust and effective web vulnerability scanner that contributes to enhancing web application security. The primary motivation behind this project is to create a tool that scans web applications and severs for common vulnerabilities and provide appropriate mitigation to vulnerability observed. Vulnerabilities Targeted: 1. Cross site scripting (XSS): detect and mitigate this vulnerability. u. SQL Injection: identify and address potential command injection points. 111. Cross Site Request Forgery. 1v. Misconfigurations. According to Open Web Application Security Project (OWASP-2017), the most dangerous vulnerabilities of web system are injection (SQLi), Cross-Site Request Forgery (CSRF), and XSS vulnerabilities. XSS allows an intruder to accomplish malicious scripts on the web browser of victim co sequencing the various side-effects like defonnation of web site, loss of data & information, theft of cookies etc. XSS; XSS attacks usually refer to hackers tampering with the web page through HTML injection...",To identify potential vulnerability and gather system requirement.; To implement and integrate backend with user interface design.; To test the vulnerability scanner system on testbed.,Department of Information Systems and Technology (DIS&T),2023,,,
683bf168c639bfed81a17094,SECURE FASHION MANAGEMENT SYSTEM,"1.1 Project Overview SECURE FASHION MANAGEMENT SYSTEM is a Mobile application which will help the fashionist to protect their works in online environment by implementing strong security mechanisms such as user authentication, anti­ screenshot hence makes it ditlicult for attackers to steal and use their work when posted through our application. l.2 Problem statement The most conm1on challenge for many people in Tanzania is that most fashionist face a big challenge in protecting their ideas since other people tend to.copy and steal their ideas and implement them as they are their ideas, Traditional application management systems often lack user engagement and struggle with security vulnerabilities. Users face challenges in managing their applications securely while maintaining a personalized experience. These systems often overlook the importance of user interaction and fail to adapt to individual preferences. Therefore, there is a need for an innovative solution that combines fashion aesthetics with robust security...",The primary objective of the Secure fashion management system project is to develop a fashion application that implement advanced security features with advanced security protocols to enhance user engagement and data protection.; InstaJling and configuring the working environment; Ensure secure data storage; Design Intuitive User Interfaces Inspired by Fashion sites,Department of Information Systems and Technology (DIS&T),2023,,,
683bf170c639bfed81a17097,WIRELESS NETWORK PENETRANTION TESTING,"Wireless network penetration testing in today's interconnected world, is very cruci� because wireless networks have become an integral part of our daily Jives, enablm.g seamless conm1unication and access to information without cable configuration only access point can be configured with wire or cable However, several small, medium and large organizations adapt and implement wireless networks through access point such as router in order to increase the efficiency of communication. TI1e widespread adoption of wireless technology also poses significant security challenges and threats. The increasing prevalence of cyber threats such as unauthorized access, data breaches, and network intrusions highlights the critical need for robust security measures to protect wireless networks and access points. PROJECT STATEMENT The rapid proliferation of wireless networks penetration testing has revolutionized communication and connectivity, but it has also exposed organizations and individuals to various security threats such as data breach, unauthorized access, eavesdropping, spoofing, and ma]ware attacks....","Identify Vulnerabilities: Conduct a comprehensive assessment to identify vulnerabilities inherent in wireless networks and access points, including common threats such as eavesdropping, spoofing, and malware attacks.; Develop Security Mechanisms: Develop and implement tailored security mechanisms and protocols to mitigate identified vulnerabilities and strengthen the overall security posture of wireless networks and access points.; Enhance Authentication: Enhance authentication mechanisms for securing access to wireless networks, including the adoption of advanced authentication protocols such as 802.1XIEAP and certificate-based authentication.; Implement Intrusion Detection/Prevention: Implement robust intrusion detection and prevention systems (IDPS) to detect and mitigate security breaches in real-time, utilizing both signature-based and anomaly-based detection techniques.; Evaluate Effectiveness: Rigorously test and evaluate the effectiveness of implemented security measures through simulated and real-world attack scenarios, ensuring their ability to withstand diverse threat vectors and adversarial tactics.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf174c639bfed81a1709a,DIGITAL IMAGE FORENSICS TOOL,"Project Overview Digital image forensic tool (DTFf) is windows desktop application that is used to perform carving, verifying the authenticity and integrity of digital images, especially in the context of detecting and localizing forgery. This tool will be designed with a friendly user-interface to examine images for signs of copy-move and splicing forgeries, as well as providing a comprehensive report of the forensic analysis. Problem statement In the digital age, the widespread use of digital images has led to an increase in the manipulation and tampering of visual content for deceptive or to make a false propaganda. Also intentional or unintentional deletion of images leads to loss of important evidence. As a result, there is a growing need for advanced digital image forensic tools that can perform image carving, analyze and authenticate digital images. Despite of having several tools that perform image carving and image forgery detection, most of the...",To develop a Graphical User Interface (GUI) digital image forensic tool capable of performing image carving and verifying the authenticity of an image.; To gather requirements for Digital Image Forensic Tool; To design a Digital Image Forensic Tool; To develop a Digital Image Forensic Tool; To test a Digital Image Forensic Tool,DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING (CSE),2023,,,
683bf17ac639bfed81a1709d,DEVELOPMENT OF A VOICE VERIFICATION TOOL FOR DIGITAL AUDIO COMPARISONS IN FORENSICS INVESTIGATIONS,"Project Overview This project deals with comparing voice recordings, one being the voice recording from the crime scene and the voice recording from the potential suspect to determine whether or not the speaker in recording A is the same as the speaker in recording B, using Mel-frequency cepstral coefficients (MFCCs) techniques to extract features such as sample rate, Bit rate, frequency bound, frames shift, frame length and Fast Fourier Transform (FFT) and generate a report that help law enforcements to analyse and confirm the speaker in recordings. Problem statement In criminal investigations, voice evidence is being used more frequently alongside other forensic methods. However, the challenge lies in accurately analyzing and comparing voice recordings, often compromised by factors such as background noise, multiple speakers and reverberations. Unlike fingerprints, the human voice is prone to change easily, for example, due to stress or health conditions and voice impersonations. As we approach...",To develop a voice recording comparison tool that will compare voice recordings and be able to determine and confirm whether the speaker from voice recording A is the same as the speaker in voice recording B based on voice characteristics.; To gather system requirements; To design the Audio Forensics Tool; To develop the Audio Forensics Tool; To test the Audio Forensics Tool,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf17fc639bfed81a170a0,Command Line Interface Network Forensic Tool,"The main objective of this project is to develop command line interface network forensic tool for web based systems that captures, analyses and generate report evidence.",To determine the Network Forensic tool for web-based systems by conducting gathering of requirements through research and consultations with security professionals; To develop the Network Forensic tool by: ...; To validate the tool's accuracy in identifying and reporting potential web-based security breaches,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf184c639bfed81a170a3,ENHANCING CHAT FORUMS WELL-BEING THROUGH TEXT BASED CYBERBULLING DETECTION: A CASE STUDY OF JAMIIFORUMS.,"1.0 Project overview. With the increasing number of users on chat forums leads to a new way of bullying. The later tem1, is deftned as an intentional or an aggressive act which are carried out by person or groups of individuals using repeatedly communication messages over time against a victim who cannot easily defend himself or herself. Bullying has always been a part of society. With the inception of the internet, it was only a matter of time until bullies found their way on to this new and opportunistic medium. Using services like email and instant messenger, bullies became able to do their nasty deeds with anonymity and great distance between them and their targets. According to Cambridge dictionary the term cyberbullying is defined as the activity of using the internet to bann or frighten another person, especially by s�nding them unpleasant messages. The main factor that separates cyberbullying from...",To analyse cyberbullying situation on JamiiForums.; To collect swahili dataset for training model.; To develop an extension for detection of cyberbullying in JamiiForums.,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf188c639bfed81a170a6,Design and Development of Video Forensic Tool,"Project Overview Video Forensic Analysis Tool for Detection, Verificati�n. and Authentication is a web-based system aimed at revolutionizing the analysis and authentication of digital video evidence within Tanzanian legal proceedings. Building upon the foundation .laid out in the project proposal, our study focuses on the development of a Video Forensic Analysis Tool designed to meet the unique requirements of the Tanzanian legal landscape. By leveraging advanced technologies and strict legal standards, the tool seeks to streamline the detection, verification, and authentication processes, ultimately enhancing the integrity and efficacy of digital video evidence in court proceedings hence ensuring evidence admissibility in the court of law. Problem Statement The admissibility of digital video evidence in.Tanzanian courts faces significant challenges, posing a threat to the effectiveness of legal proceedings. Authenticity concerns, stemming from incomplete documentation, the absence of integrity decl�rations, and non-compliance with the Electronic Transaction Act 2015, lead to the dismissal of...",To gather system requirements:; To design the digital video forensic tool:; To implement the tool:; To conduct testing of the tool:,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf18ec639bfed81a170a9,ll	extsupplementatio OF A VIRTUAL REALITY APPLICATION FOR TOURISM AND HOSPITALITY INDUSTRY: A CASE STUDY OF THE UNIVERSITY OF DODOMA.,".1.1 Project Overview This project aims to explore how virtual reality will facilitate tourism and hospitality industry in Tanzania: A case study of The University of Dodoma. Virtual reality (VR) is an immersive teclmology that allows users to experience simulated environments and interact with virtual objects. VR has many applications, such as entertainment, education, health, and training. The University of Dodoma (UDOM) was established in the year 2007. It is located approximately 7 kilometers east of Dodoma city covering about 15,000acres (6,000 hectares). \ ·�c'��i :u.'flJ_,_ ,';;;.;� ,�,-;� �-i!i\..,i-n --=-• •••••• i· ,. Figure /:The University of Dodoma In this project we will look forward toward problems that the University of Dodoma Sites encounter and providing solutions provided by our VR system, project significance or expected outcome, the scope of the project,...",To determine the tour operations in tourism and hospitality industry in UDOM.; To design the virtual reality application.; To develop a virtual reality application for Tourism and Hospitality industry in UDOM.; To evaluate and test the performance of the system.,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf193c639bfed81a170ac,MALWARE CLASSIFICATION TOOL USING AI BASED ON WINDOWSAPI,"Project Overview The project aims to develop a sophisticated tool utilizing Artificial Intelligence (Al) techniques and leveraging the Windows API for the static classification of malware. It involves the creation of a robust software system capable of analysing executable files and determining malware type and its potential threat level without execution. The tool will incorporate machine learning algorithms to scrutinize code structures, patterns, and features extracted through the Windows API to identify and classify potential malware types. By adopting a static analysis approach, the system aims to enhance security measures by detecting and classification of malicious software. Key aspects of the project include the following l. Al-Driven Classification: Implementing AI algorithms to autonomously recognize patterns and indicators of malicious code within executable files. Enhanced Security Measures: Providing sufficient defence mechanism for classification by identifying malware through static analysis, minimizing risks of system compromise or data breaches. User-Friendly Interface: Designing an...",To Collect And Process Datasets Of 10 Malware Families; To Train Malware Classification AI Model Using Deep Leaming; To Design User Interface Of Windows Desktop Application; To Evaluate Tool Performance By Testing On Various Malware Dataset,Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf199c639bfed81a170af,ENHANCING SECURITY FOR GOVERNMENT COMMUNICATIO PLATFORM(K-OFFICE),"Government e-Office (GeOS) is a web-based system that serves asa vital platform for facilitating information exchange among government organizations. It manages electronically files and documents in the daily communication procedures and processes in an office. Howev,er there are si•gru·ficant challenges in the current system, which among them is being the absence of customizable access controls and document encryption features.This reduces the sender's ability to tailor permissions for shared documents, leaving sensitive information vulnerable to unauthorized access permissions. A vivid illustration of this vulnerability emerged in 2023 with the unauthorized disclosure of the contract between The United Republic of Tanzania and Dubai concerning Tanzania's ports. 1bis breach caused disclosure of sensitive information to the public while it wasn't supposed to at that time. By implementing strong access control functionalities, the project aims to secure communication within the system while ensuring the proper handling of shared files with permissions tailored based on...","To dovclopn secure, strnng nnd customizable access control system to prevent unauthorized access of sensitive government infonnation.; To understand the operation of tl1e existing system (e-office); To evaluate the security challenges in the existing system.; To redesign a system that will eliminate the analysed challenges.; To develop a system that will eliminate the analysed challenges.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683bf19dc639bfed81a170b2,PROTECTING SOFTPHONE AGAINST CALL HIJACKING,"Project Overview The project aims to enhance softphone security because many users avoid it despite its low cost and ease of use. The main issue is security, especially hijacking, where unauthorized individuals try to listen to conversations between two parties. This compromises communication, risking the disclosure of sensitive information and harming the organization's reputation. The project focuses on securing softphone communication by implementing algorithms, making it a safer choice for many users Problem statement Existing softphone applications expose users to various security vulnerabilities, compromising their privacy and leaving them susceptible to call hijacking. These vulnerabilities arise from unencrypted conversations between the Session Initiation Protocol (SIP) and the end-point device. Call hijacking becomes easier, as there is no encryption used for the transmission of data traffic....",To explore different attacks that exists in softphone application and their proposed solution; To design an encryption mechanism that will prevent call hijacking in softphone; To develop and implement softphone application; To implement encryption mechanism in softphone application,Department of Computer Science and Engineering (DoCS&E),2020,,,
683bf1a3c639bfed81a170b5,MACHINE LEARNING EMPOWERED WEB-BASED NETWORK TRAFFIC ANALYZER FOR INTRUSION DETECTION,"I .I Project Overview The ever-growing internet demands sophisticated traffic monitoring for intrusion detection. Our project proposes a scalable tool that analyzes network activity for both performance optimization resources and security protection. Upgrading infrastructure to address congestion is simply unsustainable; our solution offers a cost-effective and adaptable alternative. By collecting and analyzing network data, we can understand traffic trends, identify potential security threats, and monitor real-time traffic. The tool also tackles security concerns by tracking user activity on the web and identifying unauthorized content access. This empowers network administrators to take proactive measures and maintain a secure environment. This project addresses a critical need in the modem digital landscape. By combining performance analysis and security monitoring, we offer a comprehensive solution for managing network traffic effectively and securing valuable data. Background The advancement of technology has revolutionized the way we live, work, and communicate. With the rise of the internet...","To implement a machine learning model to detect network intrusions by collecting and preprocessing data followed by training the model.; To develop a convenient interface for network analysts to interact with the tool, and view detected intrusions, and take appropriate action.; To validate the tool functionality via user testing.",Department of Computer Science and Engineering (DoCS&E),2023,,,
683d38372807bf3490d5949c,ENHANCING CHAT FORUMS WELL-BEING THROUGH TEXT BASED CYBERBULLING DETECTION: A CASE STUDY OF JAMIIFORUMS.,"1.0 Project overview. With the increasing number of users on chat forums leads to a new way of bullying. Tbe later tenn, is defined as an intentional or an aggressive act which are carried out by person or groups of individuals using repeatedly communication messages over lime against a victim who cannot easily defend himself or herself. Bullying has always been a part of society. With the inception of the internet, it was only a matter of time until bullies found their way on to this new and opportunistic medium. Using services like email and instant messenger, bullies became able to do their nasty deeds with anonymity and great distance between them and their targets. According to Cambridge dictionary the term cyberbullying is defined as the activity of using the internet to hann or frighten another person, especially by sending them unpleasant messages. The main factor that separates cyberbullying from...",To analyse cyberbullying situation on JamiiForums.; To collect swahili dataset for training model.; To develop an extension for detection of cyberbullying in JamiiForums.,Department of Computer Science and Engineering (DoCS&E),2023,,,
